Albinoni, Adagio in G Minor
Offenbach, Barcarolle
Bach, Ave Maria
Bach, Cello Suite No 1 in G
Bach, Partita 2 BWV 1004
Bach, Violin Sonatas and Partitas BWV 1001 1006
Beethoven, 5th Piano Concerto 'Emperor'
Beethoven, Cello Sonata No 3 in A major Op 69
Beethoven, Choral Fantasy
Beethoven, Moonlight Sonata
Beethoven, Overture Coriolan
Beethoven, Piano Concerto No 3 in C minor Op 37
Beethoven, Sonata No 29 in B flat Major Hammerklavier
Beethoven, Symphony No 8
Beethoven, Violin Concerto in D Major Op 61
Beethoven, Piano Sonata No 23 'Appassionata' Op 57
Beriot, 1st violin concerto
Beriot, 2nd violin concerto mvt1.1
Beriot, 2nd violin concerto mvt1.2
Beriot, 2th violin concerto mvt2 + 3
Beriot, 3rd violin concerto mvt1
Beriot, 3rd violin concerto mvt2 + 3
Beriot, 4th violin concerto mvt1
Beriot, 4th violin concerto mvt2 + 3
Beriot, 5th violin concerto mvt1
Beriot, 5th violin concerto mvt2 + 3
Beriot, 8th violin concerto mvt1.1
Beriot, 8th violin concerto mvt1.2 + 2
Beriot, 8th violin concerto mvt3
Beriot, mvt1+2 9th violin concerto
Beriot, mvt3 9th violin concerto
Beriot, Prélude ou Improvisation op post for solo violin
Beriot, Scene de Ballet op100 
Beriot, Concerto No 7 in G major Op 76
Brahms, Symphony No.3
Brahms, Cello Sonata No 1 in E minor Op 38
Brahms, Hungarian Dances
Bruch, Scottish Fantasy in E flat major Op 46
Bruch, Violin Concerto no 1 G minor
DAVID GARRETT, Child's Anthem   
Chopin, Mazurka Op 67 No 3
Chopin, Waltz Inz E Minor
Chopin, Waltz Op 70 No 1 in G flat
Chopin, Waltz Op 70 No 2 in F minor
Chopin, 19 Nocturnes
Chopin, 24 Preludes Op28
Chopin, Cello Sonata in G minor Op 65
Chopin, Mazurkas
Chopin, Fantaisie Impromptu Op 66
Chopin, Marcia funebre Sonata n 2 op 35
Chopin, Mazurka Op 67 No 2
Chopin, Nocturne in C Sharp Minor
Chopin, Nocturne Op 15 No 3 in G minor
Chopin, Nocturne Op 27 No 2
Chopin, Nocturne Op37 No2
Chopin, Nocturne Op48 No1
Chopin, Nocturne Op 9 n 2
Chopin,  Nocturne op 9 no 1 in B flat minor
Chopin, Piano Concerto No 1
Chopin, Polonaise Op 53 
Chopin, Prelude No 15 In D Flat Major
Chopin, 19 Waltzes 
Chopin, Scherzo No 2 Op 31
Chopin, Waltz Op 64 No 2
Debussy, Images
Debussy, Arabesque I 
Debussy, Ballade
DEBUSSY, CLAIR DE LUNE
Debussy, Mazurka 
Debussy, Nocturne
Debussy, Rêverie
Debussy, Six Épigraphes antiques 
Debussy, Valse Romantique
Dvorak, Romance for piano and violin Op11
Dvorak, Slavonic Dance No 6
Dvořák, String Quartet No 12 in F major Op 96 'American'
Grieg, String Quartet No 1 in G Minor Op 27
Grieg, In the Hall of the Mountain King
Enrico_Caruso, Addio Mia Bella Napoli
Enrico_Caruso, Amor Mio
Enrico_Caruso, A vucchella
Enrico_Caruso, Celeste Aida 1911
Enrico_Caruso, Core 'ngrato
Enrico_Caruso, Donna non vidi mai 
Enrico_Caruso, E lucevan le stelle 1904 
Enrico_Caruso, Fenesta che lucive 
Enrico_Caruso, Ideale (1906)
Enrico_Caruso, I`m'arricordo 'e Napule 
Enrico_Caruso, La Bohème Che Gelida Manina 
Enrico_Caruso, Mamma mia che vo'sape'
Enrico_Caruso, Mamma quel vino è generoso
Enrico_Caruso, M'appari' tutt'amor
Enrico_Caruso, Musica proibita
Enrico_Caruso, O Lola (Cavalleria rusticana)
Enrico_Caruso, O Sole Mio
Enrico_Caruso, Over There
Enrico_Caruso, Recondita armonia
Enrico_Caruso, Rigoletto Bella Figlia dell'amore
Enrico_Caruso, Santa Lucia
Enrico_Caruso, Tosca Recondita armonia
Enrico_Caruso, Una Furtiva Lagrima
Enrico_Caruso, Un Di All'azzurro Spazio 
Enrico_Caruso, Vaghissima sembianza
Enrico_Caruso, Vesti la giubba
Enrico_Caruso, Vieni sul mar
Gershwin, Rhapsody in Blue
György Orbán Balzene, Suite for Strings
Haydn, Cello Concerto No1 in C Major
Berlioz, Symphonie Fantastique
liszt, Liebestraum No 3 in A flat Major
Liszt, Années de pèlerinage   II Italia   1 Sposalizio
Liszt, Bénédiction de Dieu dans la solitude
Liszt, Consolation D flat major  No3
Liszt, Consolations I et II
Liszt, Hungarian Rhapsody No 2
Liszt, Hungarian Rhapsody No2 Orchestra
Liszt, Three Concert Etudes S144 No3 'Un Sospiro'
Locatelli, Concerti Grossi Op I
Locatelli, l'arte del violino op 3 concerto no 10 in F major
Locatelli, l'arte del violino op 3 concerto no 11 in A major
Locatelli, l'arte del violino op 3 concerto no 12 in D major
Locatelli, l'arte del violino op 3 concerto no 1 in D major
Locatelli, l'arte del violino op 3 concerto no 2 in C major
Locatelli, l'arte del violino op 3 concerto no 3 in A major
Locatelli, l'arte del violino op 3 concerto no 4 in E major
Locatelli, l'arte del violino op 3 concerto no 5 in C major
Locatelli, l'arte del violino op 3 concerto no 6 in G minor
Locatelli, l'arte del violino op 3 concerto no 7 in B flat major
Locatelli, l'arte del violino op 3 concerto no 8 in E minor
Locatelli, l'arte del violino op 3 concerto no 9 in G major
Locatelli, Concerto II in Do minore ' opIII
Locatelli, Violin Concerto op3 no12
Bizet, L'amour Est Un Oiseau Rebelle
Massenet, Meditation thais
Mendelssohn, Lieder ohne Worte   Gieseking
